"complaint","department"
"I am really frustrated that patients at the hospital near our lane face very long waiting times. PLEASE help us out.","Health"
"Sir/madam the electricity meter installed at the temple area seems to be faulty. We need a permanent solution to this problem.","Electricity"
"there is a terrible smell coming from the drain near Ward   7. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Drainage"
"sir/madam traffic violations are common near the corner shop area and no one is checking. Please help us out","Police"
"Could you please look into the issue that the transformer near the park area is damaged and sparking continuously since last night? This should have been fixed long ago.","Electricity"
"Could you please look into the issue that heavy rain caused the drain near the old town area to overflow into houses? Requesting immediate action from your department.","Drainage"
"Sir just want to say there is a leaking valve near MG Road wasting a lot of water. Please look into this matter as soon as possible.","Water Supply"
"a theft was reported near our street and no action has been taken.","Police"
"the street lights in Nehru Colony havent worked for the past 3 days.","Electricity"
"the road near the slum area has developed deep cracks. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Roads"
"the transformer near Nehru Colony is damaged and sparking since Monday.","Electricity"
"loose electric wires are hanging near Gandhi Nagar, posing a safety risk. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Electricity"
"I feel helpless because the footpath near the flyover is damaged making it hard for pedestrians. This should have been fixed long ago","Roads"
"My family is really struggling since there is a major water leakage near the water tank area continuously since last night. We need a permanent solution to this problem","Water Supply"
"Could you please look into the issue that the power supply to Gandhi Nagar KEEPS tripping every few hours? Thank you.","Electricity"
"stray dogs near the hospital in Gandhi Nagar are becoming a health hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Health"
"Could you please look into the issue that garbage has not been collected in the college road for over a week? Please take strict action against those responsible.","Sanitation"
"Immediate action required: the sewage pipeline near the local market has been leaking since last Sunday. Waiting for a quick response from your side.","Drainage"
"the road markings near Sector 12 have faded completely. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Roads"
"Could you please look into the issue that there has been no electricity supply in the local market since last Sunday?","Electricity"
"Could you please look into the issue that an electric pole near the bridge area is damaged and leaning dangerously? Kindly resolve this ISSUE at the earliest.","Electricity"
"I would like to bring to your attention that the dustbins near the local market are overflowing with waste.","Sanitation"
"illegal parking near the water tank area is blocking the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem","Transport"
"I am really frustrated that the drainage cover near our NEIGHBOURHOOD is broken, its a safety hazard.","Drainage"
"i am really frustrated that residents of the main market area have not received drinking water for the past 3 days. Please help us out.","Water Supply"
"the borewell near Sector 12 has stopped working for the past few hours.","Water Supply"
"the footpath near our street is damaged making it hard for pedestrians.","Roads"
"the footpath near the corner shop area is damaged making it hard for pedestrians. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. hope to see quick action on this.","Roads"
"Hello, there is a major water leakage near Ward 7 for the last few months. Waiting for a quick response from your side.","Water Supply"
"Could you please look into the issue that sewage is overflowing onto the stret near the hospital area? Kindly resolve this issue at the earliest.","Drainage"
"This letter is to inform   the department that a street fight broke out near the government quarters last night. Regards.","Police"
"a group of people has been creating public disturbance near the temple area since last week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Police"
"hello, the buses passing through Shastri Nagar are dangerously overcrowded.","Transport"
"the ambulance SERVICE near the college road took too long to respond for the past few hours.","Health"
"illegal parking near our neighbourhood is causing trouble for residents. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Police"
"Could you please look into the issue that the government hospital near Nehru Colony is extremely unclean? Please help us out.","Health"
"URGENT: the sewage pipeline near the bridge area has been leaking for several days. Requesting immediate action from your department","Drainage"
"Could you please look into the issue that people are dumping waste illegally near Gandhi Nagar? Please take strict action against those responsible","Sanitation"
"I am really frustrated that a pipeline near the hospital area has broken and water is flooding the road. Please help us out.","Water Supply"
"We are fed up as the bus stop near Nehru Colony has been broken for over a week. Please look into this matter as soon as possible.","Transport"
"this is an emergency situation. a live wire fell near Sector 12 and no one has come to fix it for the last few months.","Electricity"
"stagnant water from the drain near our street is causing diseases.","Drainage"
"I am really frustrated that patients at the hospital near our colony face very long waiting times.","Health"
"Guys please note the water pressure in Shastri Nagar is extremely low. We need a permanent solution to this problm.","Water Supply"
"I am really frustrated that drains in the college road are completely blocked with WASTE.","Drainage"
"could you please look into the issue that illegal parking near Nehru Colony is blocking the road?","Transport"
"the public toilet near the corner shop area is extremely unhygienic","Sanitation"
"the borewell near the flyover has stopped working since the rains started. this has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Water Supply"
"the sewage pipeline near the panchayat office area has been leaking for the last few months. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Drainage"
"This is to formally inform you that public health concerns are rising due to poor waste disposal near the highway junction.","Health"
"i am writing to report that public health concerns are rising due to poor waste disposal near the housing society.","Health"
"I am really frustrated that the water coming from the tap in our street is dirty and smells bad. Please take strict action against those responsible.","Water Supply"
"Sir/madam the road divider near our colony is broken and dangerous for drivers","Roads"
"Please resolve this on priority basis. an electric pole near the government quarters is damaged and leaning dangerously. Kindly resolve this issue at the earliest.","Electricity"
"Could you please look into the issue that loud music from a shop near the government quarters disturbs the whole neighbourhood? Regards","Police"
"Please act fast, the power supply to the outskirts of the city keeps tripping every few hours. Please send someone to fix this soon.","Electricity"
"i would like to bring to your attention that THERE are huge potholes on the road near our colony.","Roads"
"Please resolve this on priority basis. the road markings near the highway junction have faded completely. This should have been fixed long ago.","Roads"
"stray dogs near the hospital in the highway junction are becoming a health hazard.","Health"
"mosquito breeding is rampant due to uncollected trash in Sector 12. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Sanitation"
"Guys please note the garbage truck has not visited the railway station road for over a week.","Sanitation"
"the substation near the hospital area has been making loud noises since this afternoon. This has been a recurring ISSUE in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Electricity"
"the road near our colony has developed deep cracks.","Roads"
"the road divider near the main market area is broken and dangerous for drivers. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out","Roads"
"Hi team, stray animals are scattering garbage all over the college road.","Sanitation"
"Please act fast, the ambulance service near the government quarters took too long to respond continuously since last night. Please help us out.","Health"
"I am really frustrated that the electricity meter installed at the school area seems to   be faulty. This should have been fixed long ago.","Electricity"
"i am writing to report that road maintenance near sector 12 has not been done for over a week.","Roads"
"URGENT: the road in the outskirts of the city is completely broken and unusable.","Roads"
"this needs immediate attention. the garbage truck has not visited our village for several days. Please look into this matter as soon as possible.","Sanitation"
"Could you please look into the issue that a live wire fell near Shastri Nagar and no one has come to fix it since last week? Kindly resolve this issue at the earliest.","Electricity"
"We are suffering a lot because the electricity meter installed at the corner shop area seems to be faulty","Electricity"
"urgent: people are dumping waste illegally near sector 12. kindly resolve this issue at the earliest.","Sanitation"
"please act fast, the bus conductor near the government quarters was rude to passengers. Please send SOMEONE to fix this soon.","Transport"
"Could you please look into the issue that a pipeline near Gandhi Nagar has broken and water is flooding the road?","Water Supply"
"there has been no electricity supply in the highway junction continuously since last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Electricity"
"I feel helpless because the buses passing through Nehru Colony are dangerously overcrowded. Requesting immediate action from your department","Transport"
"Just letting you know sewage is overflowing onto the street near the housing society.","Drainage"
"URGENT: patients at the hospital near the government quarters face very long waiting times. Please send someone to fix this soon.","Health"
"This needs immediate attention. the electricity bill for Nehru Colony shows incorrect meter reading. Requesting immediate action from your department.","Electricity"
"This letter is to inform the department that loud music from a shop near Gandhi Nagar disturbs the whole neighbourhood.","Police"
"stray dogs near the hospital in the temple area are becoming a health hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Health"
"an unauthorized electricity connection is causing overload in our street. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Electricity"
"I am writing to report that water supply to the temple area has become very irregular for over a week.","Water Supply"
"there is no proper parking space available near the hospital area.","Transport"
"This is to formally inform you that there is a lack of medicines at the health center near the outskirts of the city. Please look into this matter as soon as possible","Health"
"I would like to bring   to your attention that the footpath near the flyover is damaged making it hard for pedestrians. Please take strict action against those responsible.","Roads"
"Could you please look into the issue that the transformer near the water tank area is damaged and sparking continuously since last night?","Electricity"
"This letter is to INFORM the department that an unauthorized electricity connection is causing overload in the bus stand area. Waiting for a quick response from your side.","Electricity"
"the open drain near model town is a breeding ground for mosquitoes.","Drainage"
"I wish to lodge a complaint regarding the fact that mosquito control measures have not been taken near our village for the last 5 days.","Health"
"We are fed up as traffic violations are common near our block and no one is checking","Police"
"Just letting you know the newly laid road near the hospital area is already cracking. Thank you","Roads"
"Hello, there are huge potholes on the road near Nehru Colony.","Roads"
"a group of people has been creating public disturbance near Gandhi Nagar since last Sunday","Police"
"URGENT: loud music from a shop near the bridge area disturbs the whole neighbourhood.","Police"
"Sir just want to say the government hospital near the railway station road is extremely unclean","Health"
"burning of garbage near Gandhi Nagar is causing air pollution.","Sanitation"
"COULD you please look into the issue that a theft was reported near the railway station road and no action has been taken? Kindly resolve this issue at the earliest.","Police"
"Just letting you know   patients at the hospital near our street face very long waiting times.","Health"
"My family is really struggling since loud music from a shop near Model Town disturbs the whole neighbourhood. Please help us out.","Police"
"Please resolve this on priority basis. the health camp promised near the college road was never conducted. Please look into this matter as soon as possible","Health"
"Guys please note traffic jams keep happening near the main market area due to damaged roads.","Roads"
"To whoever reads this, the government hospital near Shastri NAGAR is extremely unclean. This should have been fixed long ago.","Health"
"We are fed up as mosquito breeding is rampant due to uncollected trash in the school area. Thank you.","Sanitation"
"Could you please look into the issue that the footpath near our lane is damaged making it hard for pedestrians? Thank you.","Roads"
"Could you please look into the issue that suspicious activities have been noticed near the apartment complex since this afternoon? We need a permanent solution to this problem.","Police"
"URGENT: the water pressure in Nehru Colony is extremely low. We need a permanent solution to this problem.","Water Supply"
"sewage is overflowing onto the stret near the temple area.","Drainage"
"My family is really struggling since the water pressure in the temple area is extremely low. Please look into this matter as soon as possible","Water Supply"
"loose electric wires are hanging   near our colony, posing a safety risk.","Electricity"
"URGENT: there is a lot of noise disturbance near Shastri Nagar at night. We need a permanent solution to this problem","Police"
"it is so painful to see that a street fight broke out near the bus stand area last night. Please help us out","Police"
"waterlogging near the outskirts of the city has made it impossible to walk for the last month. This has been a recurring issue in the area and is causing a lot   of inconvenience to residents. Thank you.","Drainage"
"the sanitation inside the hospital near the panchayat office area is very poor. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Health"
"sewage is overflowing onto the stret near the main market area.","Drainage"
"there is a major water leakage near the school area for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Water Supply"
"i wish to lodge a complaint regarding the fact that street light poles in the park area are sparking at night. Please help us out.","Electricity"
"Kindly note that loose electric wires are hanging near the water tank area, posing a safety risk. We need a permanent solution to this problem","Electricity"
"the dustbins near our lane are overflowing with waste. This has been   a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Sanitation"
"This needs immediate attention. a chain snatching incident occurred near the college road yesterday. Thank you.","Police"
"Please resolve this on priority basis. the open drain near our colony is a BREEDING ground for mosquitoes. This should have been fixed long ago.","Drainage"
"Sir/madam loud music from a shop near Model Town disturbs the whole neighbourhood.","Police"
"Sir/madam road maintenance near our neighbourhood has not been done for the last few months","Roads"
"anti social elements have been loitering near our colony for the last 5 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Police"
"Could you please look into the issue that a large POTHOLE near the outskirts of the city caused an accident yesterday? Regards.","Roads"
"To whoever reads this, the open drain near our block is a breeding ground for mosquitoes. Regards.","Drainage"
"We are suffering a lot because the electricity meter installed at the temple area seems to be faulty.","Electricity"
"loud music from a shop near our building disturbs the whole neighbourhood. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Police"
"Could you please look into the issue that traffic violations are common near the local market and no one is checking? Please take strict action against those responsible.","Police"
"This is an emergency situation. road maintenance near the corner shop area has not been done since last week. Kindly resolve this issue at the earliest.","Roads"
"mosquito control measures have not been taken near our building for over a week. This has been a recurring issue in the area and is causing a lot of inconvenience   to residents. Kindly resolve this issue at the earliest.","Health"
"patients at the hospital near Model Town face very long waiting times","Health"
"We are suffering a lot because the traffic signal near the panchayat office area has been malfunctioning since morning. Please help us out.","Transport"
"Sir just want to say heavy rains have washed away part of the road at our block. This should have been fixed long ago","Roads"
"Just letting you know the public cleanliness near Ward 7 has deteriorated badly. Hope to see quick action on this.","Sanitation"
"We are fed up as the local train service near Ward 7 has been delayed for several days. Please look into this matter as soon as possible.","Transport"
"Could you please look into the issue that the newly laid road near Gandhi Nagar is already cracking? Please send someone to fix this soon.","Roads"
"a live wire fell near the housing society and no one has come to fix it continuously since last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Electricity"
"This is an emergency situation. the local train service near Ward 7 has been delayed for the last month. Please send someone to fix this soon.","Transport"
"Hello, the water tanker never arrives on time in our block.","Water Supply"
"hi team, the drainage cover near the flyover is broken, its a safety hazard. please help us out.","Drainage"
"Could   you please look into the issue that a chain snatching incident occurred near the residential block yesterday? Kindly resolve this issue at the earliest.","Police"
"the public toilet near the slum area is extremely unhygienic. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this","Sanitation"
"I feel helpless because there is a lot of noise disturbance near our neighbourhood at night. Hope to see quick action on this.","Police"
"residents of our neighbourhood have not recieved drinking water for 2 weeks now. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Water Supply"
"there is no proper parking space available near Nehru Colony. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Transport"
"Could you please look into the issue that the sanitation inside the hospital near the panchayat office area is very poor? Requesting immediate action from your department","Health"
"the power supply to the bridge area keeps tripping every few hours","Electricity"
"illegal parking near our colony is causing trouble for RESIDENTS. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Police"
"Immediate action required: a huge pile of garbage has accumulated near our block. Kindly resolve this issue at the earliest.","Sanitation"
"the sewage pipeline near Model Town has been leaking for the last 5 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Drainage"
"Sir/madam burning of garbage near the slum area is causing air pollution.","Sanitation"
"there has been a power failure in the bridge area since this afternoon.","Electricity"
"I would like to bring to your attention that there is a leaking valve near the college road wasting a lot of water. This should have been fixed long ago","Water Supply"
"Sir/madam water supply to Nehru Colony has become very irregular for almost 10 days","Water Supply"
"stagnant water from the DRAIN near our building is causing diseases.","Drainage"
"the bus stop near the residential block has been broken for the last few months. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Transport"
"Could you please look into the issue that the road markings near the water tank area have faded completely?","Roads"
"the newly laid road near the apartment complex is already cracking.","Roads"
"i feel helpless because water supply to the college road has become very irregular since yesterday. Thank you.","Water Supply"
"Sir just want to say traffic jams keep happening near our village due to damaged roads.","Roads"
"the traffic signal near our building has been malfunctioning since morning.","Transport"
"Could you please look into the issue that drains in our street are completely blocked with waste? Hope to see quick action on this.","Drainage"
"the government hospital near our colony is extremely unclean. this has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Health"
"Could you please look into the issue that there is a lack of medicines at the health center near the local market?","Health"
"a huge pile of garbage has accumulated near our village. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Sanitation"
"construction debris has been left on the road near our street since yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Roads"
"Just letting you know traffic violations are common near our lane and no one is checking. Kindly resolve this issue at the earliest.","Police"
"This letter is to inform the department that the dustbins near the old town area are overflowing with waste. Requesting immediate action from your department.","Sanitation"
"water supply to the water tank area has become very irregular since yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Water Supply"
"Hi team, the drainage cover near MG Road is broken, its a safety hazard. This should have been fixed long ago.","Drainage"
"garbage has not been collected in the school area for the past few hours.","Sanitation"
"I am really frustrated that the traffic signal near the bridge area has been malfunctioning for the last few months. Waiting for a quick response from your side.","Transport"
"We are fed up as the ambulance service near the outskirts of the city took too long to respond for almost 10 days. Thank you.","Health"
"This letter is to inform the department that sewage is overflowing onto the street near Ward 7. Waiting for a quick response from your side","Drainage"
"guys please note the road in our village is completely broken and unusable.","Roads"
"We are fed up as construction debris has been left on the road near the main market area for the last 5 days. Regards.","Roads"
"this is an emergency situation. the dustbins near our building are overflowing with waste. Please take strict action against those responsible.","Sanitation"
"URGENT: the health camp promised near our street was never conducted. Kindly resolve this issue at the earliest","Health"
"This is to formally inform you that the garbage truck has not visited the bridge area since last week.","Sanitation"
"suspicious activities have been noticed near the panchayat office area for 2 weeks now.","Police"
"Could you please look into the issue that we are facing severe voltage fluctuation in the residential BLOCK? Thank you.","Electricity"
"the public toilet near sector 12 is extremely unhygienic. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. please send someone to fix this soon.","Sanitation"
"construction debris has been left on the road near Gandhi Nagar for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Roads"
"stagnant water from the drain near the residential block is causing diseases.","Drainage"
"people are dumping waste illegally near the residential block. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. please send someone to fix this soon.","Sanitation"
"This is to formally inform you that the health camp promised   near our building was never conducted.","Health"
"Sir just want to say there is a leaking valve near the college road wasting a lot of water. Regards.","Water Supply"
"traffic jams keep happening near the residential block due to damaged roads.","Roads"
"Please resolve this on priority basis. mosquito breeding is rampant due to uncollected trash in our block. Kindly resolve this issue at the earliest.","Sanitation"
"To whoever reads this, public health concerns are rising due to poor waste disposal near Gandhi Nagar","Health"
"I am really frustrated that stagnant water from the drain near Nehru Colony is causing diseases. Regards.","Drainage"
"there are frequent power cuts in the main market area for 2 weeks now. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Electricity"
"illegal parking near the bus stand area is blocking the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Transport"
"this needs immediate attention. sewage is overflowing onto the street near the college road.","Drainage"
"Hello, the sewage pipeline near our colony has been leaking continuously since last night. Please send someone to fix this soon.","Drainage"
"we have received no water supply in Shastri Nagar for several days.","Water Supply"
"Could you please look into the issue that there is a lack of medicines at the health center near the housing society? Requesting immediate action from your   department.","Health"
"the transformer near the highway junction is damaged and sparking SINCE this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Electricity"
"a group of people has been creating public disturbance near the hospital area since morning.","Police"
"I feel helpless because an electric pole near the panchayat office area is damaged and leaning dangerously. Please look into this matter as soon as possible.","Electricity"
"Hello, there is no proper parking space available near the panchayat office area.","Transport"
"Sir just want to say the garbage truck has not visited the railway station road since this afternoon.","Sanitation"
"Sir just want to say the bus conductor near the park area was rude to passengers. Requesting immediate action from your department.","Transport"
"Could you please look into the issue that loud music from a shop near the main market area disturbs the WHOLE neighbourhood? Please look into this matter as soon as possible.","Police"
"public health concerns are rising due to poor waste disposal near the local market","Health"
"loose electric wires are hanging near our colony, posing a safety risk.","Electricity"
"we are suffering a lot because the footpath near the residential block is damaged making it hard for pedestrians. This should have been fixed long ago.","Roads"
"We are fed up as the water pressure in the bridge area is extremely low. Hope to see quick action on this.","Water Supply"
"please act fast, burning of garbage near the local market is causing air pollution. PLEASE help us out.","Sanitation"
"sir/madam the DRAINAGE near our village has been overflowing continuously since last night.","Drainage"
"Could you please look into   the issue that contaminated water is being supplied to households in MG Road?","Water Supply"
"the newly laid road near the old town area is already cracking.","Roads"
"we are fed up as traffic violations are common near the panchayat office area and no one is checking. hope to see quick action on this.","Police"
"I wish to lodge a complaint regarding the fact that illegal parking near Model Town is blocking the road.","Transport"
"Sir just want to say suspicious activities have been noticed near Ward 7 since the rains started. Hope to see   quick action on this.","Police"
"traffic violations are common near the highway junction and no one is checking. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Police"
"Could you please look into the issue that the sewage pipeline near the school area has been leaking since last week? Hope to see quick action on this.","Drainage"
"I am really frustrated that the sanitation inside the hospital near our village is very poor. Kindly resolve   this issue at the earliest.","Health"
"This needs immediate attention. the buses passing through Nehru Colony are dangerously overcrowded. Kindly resolve this issue at the earliest.","Transport"
"URGENT: a live wire fell near Ward 7 and no one has come to fix it since morning","Electricity"
"mosquito control measures have not been taken near Gandhi Nagar for several days. This has been a recurring issue in the   area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Health"
"This is an emergency situation. the public cleanliness near Sector 12 has deteriorated badly. Please look into this matter as soon as possible","Sanitation"
"auto rickshaw drivers near the slum area are overcharging passengers","Transport"
"I wish to lodge a complaint regarding the fact that there is a leaking valve near Nehru Colony wasting a lot of water.","Water Supply"
"I am writing to report that traffic congestion near the railway station road has become unbearable.","Transport"
"URGENT: the power supply to the housing society keeps tripping every few hours. Please look into this matter as soon as possible.","Electricity"
"the electricity bill for our neighbourhood shows incorrect meter reading. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. please send someone to fix this soon.","Electricity"
"i would like to bring to your attention that the electricity meter installed at the industrial area seems to be faulty","Electricity"
"This needs immediate attention. the road in the college road is completely broken and unusable. Please help us out.","Roads"
"Sir just want to say the footpath near the corner shop area is damaged making it hard for pedestrians","Roads"
"the garbage truck has not visited Ward 7 since the rains started. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest","Sanitation"
"Please act fast, drains in the local market are completely blocked with waste. Waiting for a quick response from your side.","Drainage"
"Sir/madam the open drain near the local market is a breeding ground for mosquitoes. We need a permanent solution to this problem.","Drainage"
"Guys please note the water coming from the tap in the school area is dirty and smells bad. Hope to see quick action on this.","Water Supply"
"we are fed up as the road markings near the flyover have faded completely. please look into this matter as soon as possible.","Roads"
"the road markings near Gandhi Nagar have faded completely. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Roads"
"This needs   immediate attention. the public cleanliness near the school area has deteriorated badly. Kindly resolve this issue at the earliest.","Sanitation"
"Could you please look into the issue that we suspect sewage is mixing with drinking water supply in the main market area? Hope to see QUICK action on this.","Water Supply"
"This needs immediate attention. the local train service near the railway station road has been delayed for the last month. Please look into this matter as soon as possible.","Transport"
"Please act fast, the local train service near the old town area has been delayed for 2 weeks now. Thank you.","Transport"
"illegal parking near our street is causing trouble for residents.","Police"
"Kindly note that loud MUSIC from a shop near the old town area disturbs the whole neighbourhood.","Police"
"the health camp promised near the industrial area was never conducted. This has been a RECURRING issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Health"
"This letter is to inform the department that the transformer near the temple area is damaged and sparking for the past few hours. Regards.","Electricity"
"This is an emergency situation. the electricity meter installed at the residential block seems to be faulty. Waiting for a quick response from your side.","Electricity"
"waterlogging near the park area has made it impossible to walk continuously since last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side","Drainage"
"sewage is overflowing onto the street near the slum area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Drainage"
"We are fed up as the electricity meter installed at the school area SEEMS to be faulty. Waiting for a quick response from your side.","Electricity"
"I feel helpless because illegal parking near our lane is causing trouble for residents. Thank you.","Police"
"This needs immediate attention. the transformer near Shastri Nagar is damaged and sparking since last Sunday. Please take strict action against those responsible.","Electricity"
"Sir/madam the electricity meter INSTALLED at the park area seems to be faulty.","Electricity"
"I am writing to report that a theft was reported near our village and no action has been taken. Requesting immediate action from your department.","Police"
"hello, the water tanker never arrives on time in the college road.","Water Supply"
"Just letting you know sewage is overflowing onto the street near the college road. Please help us out.","Drainage"
"This is an emergency situation. the water pressure in the residential block is extremely low. Thank you.","Water Supply"
"This is to formally inform you that road maintenance near the bridge area has not been done for the last 5 days","Roads"
"I am really frustrated that traffic congestion near Nehru Colony has become unbearable. Requesting immediate action from your department.","Transport"
"the ambulance service near our lane took too long to respond for the last few months.","Health"
"road maintenance near the residential block has not been done for several days.","Roads"
"I would like to bring   to your attention that the health camp promised near the college road was never conducted.","Health"
"mosquito breeding is rampant due to uncollected trash in the outskirts of the city. This has been a recurring issue in the area and is causing a lot of inconvenience to residents","Sanitation"
"Hello, the sewage pipeline near Nehru Colony has been leaking since last week.","Drainage"
"This is an emergency situation. an unauthorized electricity connection is causing overload in Shastri Nagar. Please send someone to fix this soon.","Electricity"
"My family is really struggling since sewage is overflowing onto the street near Model Town. Please look into this matter as soon as possible.","Drainage"
"buses on the route through the corner shop area are always late for almost 10 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Transport"
"the garbage truck has not visited Model Town for the past 3 days.","Sanitation"
"the road in Ward 7 is completely broken and unusable. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you","Roads"
"Hello, there has been no electricity supply in the railway station road since last week.","Electricity"
"THERE is a lot of noise disturbance near Model Town at night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Police"
"the public toilet near the park area is extremely unhygienic. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. kindly resolve this issue at the earliest.","Sanitation"
"This needs immediate attention. buses on the route through Ward 7 are always late for over a week. Please take strict action against those responsible","Transport"
"It is so painful to see that people are dumping waste illegally near the hospital area. Requesting immediate action from your department.","Sanitation"
"people are dumping waste illegally near the railway station road","Sanitation"
"mosquito breeding is rampant due to uncollected trash in the bus stand area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Sanitation"
"To whoever reads this, there is a shortage of medical staff at the clinic near the government quarters. This should have been fixed long ago","Health"
"road maintenance near the residential block has not been done for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Roads"
"Could you please look into the issue that anti social elements have been loitering near the temple area since yesterday? Waiting for a quick response from your side","Police"
"we are suffering a lot because stray dogs near the hospital in our colony are becoming a health hazard. Thank you","Health"
"Could you please look into the issue that mosquito control measures have not been taken near the park area since last week? Regards.","Health"
"I am really frustrated that patients at the hospital near our street face very long waiting times. Please take strict action against those responsible.","Health"
"Just letting you know illegal parking near the temple area is blocking the road","Transport"
"the newly laid road near our village is already cracking. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Roads"
"please act fast, patients at the hospital near the industrial area face very long waiting times.","Health"
"the street lights in the apartment complex havent worked since last week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago","Electricity"
"It is so painful to see that there is a lack of medicines at the health center near the government quarters","Health"
"My family is really struggling since burning of garbage near the panchayat office area is causing air pollution. This should have been fixed long ago.","Sanitation"
"I am really frustrated that the bus conductor near the housing society was rude to passengers. Please take strict action against those responsible.","Transport"
"we are fed up as the public toilet near the housing society is extremely unhygienic. requesting immediate action from your department.","Sanitation"
"residents of mg road have not received drinking water since the rains started. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. we need a permanent solution to this problem.","Water Supply"
"the public cleanliness near MG Road has deteriorated badly. This has been a   recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Sanitation"
"I feel helpless because traffic violations are common near our colony and no one is checking. This should have been fixed long ago.","Police"
"a pipeline near MG Road has broken and water is flooding the road","Water Supply"
"could you please look into the issue that the drainage cover near the highway junction is broken, its a safety hazard? Please look into this matter as soon as possible.","Drainage"
"Please resolve this on priority basis. garbage has not been collected in Nehru Colony for almost 10 days. Please help us out.","Sanitation"
"sir/madam the water coming from the tap in our block is dirty and smells bad. requesting immediate action from your department.","Water Supply"
"the water coming from the tap in the railway station road is dirty and smells bad.","Water Supply"
"Just letting you know garbage has not been collected in the apartment complex for almost 10 days. Please send someone to fix this soon.","Sanitation"
